,network,station,NOP,RMSE_RF,ubRMSE_RF,r_RF,LC,Climate,RMSE_cci,ubRMSE_cci,r_cci
OZNET_Hay-AWS.csv,OZNET,Hay-AWS,,0.03842100677535289,0.038154887891676516,0.7967984145341429,120.0,BSk,0.07781106840575777,0.03787425927772729,0.7962269547514013
OZNET_Keenan.csv,OZNET,Keenan,,0.10593516070699016,0.07657582188255327,0.5723860624144192,120.0,Cfb,0.09840047104084867,0.0965430290001256,-0.050725430692313694
OZNET_Kyeamba-Mouth.csv,OZNET,Kyeamba-Mouth,,0.09627767278985656,0.07838910590499622,0.20168761871917826,10.0,Cfa,0.07429178658346439,0.07141634944255432,0.174497817395122
OZNET_Kyeamba-Station.csv,OZNET,Kyeamba-Station,,0.05829549494881026,0.057764319071490385,0.788422145897166,120.0,Cfa,0.08266016473991238,0.06525001856234872,0.7528569149221768
OZNET_Rochedale.csv,OZNET,Rochedale,,0.028743096523460947,0.023190863986330666,0.8049826418821606,130.0,Cfb,0.07692119359668242,0.03029317274264136,0.8290059909954821
OZNET_S-Coleambally.csv,OZNET,S-Coleambally,,0.09668128022101329,0.09171210096731212,0.5828463743726369,30.0,BSk,0.09155284157143517,0.09099376209787437,0.6453186176351055
OZNET_Samarra.csv,OZNET,Samarra,,0.11059686493031914,0.08257279922046892,0.4861410663856682,120.0,Cfa,0.08002604275371407,0.07958755637062545,0.5123028397230851
OZNET_Spring-Bank.csv,OZNET,Spring-Bank,,0.05623496478878334,0.05511314302462999,0.8014863553625702,10.0,BSk,0.04921650459465153,0.025044907548981626,0.867119049894022
OZNET_Strathvale.csv,OZNET,Strathvale,,0.04386328329555905,0.02979259298100564,0.7547910308208137,120.0,Cfb,0.13673508563004952,0.04048964769525565,0.5754700435542506
OZNET_Uri-Park.csv,OZNET,Uri-Park,,0.03563382539919499,0.034491445570135316,0.825458381973589,10.0,BSk,0.08269481933976726,0.0329374192358562,0.7467093397552685
OZNET_Waitara.csv,OZNET,Waitara,,0.03492458126864104,0.031928713102648124,0.8212432367519478,120.0,Cfa,0.07895865796859777,0.041523005149111364,0.6947292380271879
